Java HotSpot(TM) 64-Bit Server VM (25.112-b16) for bsd-amd64 JRE (1.8.0_112-b16), built on Sep 30 2016 22:41:41 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 25165824k(1658724k free)

/proc/meminfo:

CommandLine flags: -XX:GCLogFileSize=104857600 -XX:InitialHeapSize=402653184 -XX:MaxHeapSize=1073741824 -XX:NumberOfGCLogFiles=1 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+TieredCompilation -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseGCLogFileRotation -XX:+UseParallelGC 
0.917: [GC (GCLocker Initiated GC) [PSYoungGen: 98304K->13328K(114688K)] 98322K->13363K(376832K), 0.0137632 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
1.170: [GC (Metadata GC Threshold) [PSYoungGen: 48304K->10795K(212992K)] 48338K->10837K(475136K), 0.0089468 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
1.179: [Full GC (Metadata GC Threshold) [PSYoungGen: 10795K->0K(212992K)] [ParOldGen: 42K->10461K(164352K)] 10837K->10461K(377344K), [Metaspace: 20869K->20865K(1069056K)], 0.0378290 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
5.327: [GC (Allocation Failure) [PSYoungGen: 196608K->12414K(212992K)] 207071K->22886K(377344K), 0.0116505 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
9.665: [GC (Allocation Failure) [PSYoungGen: 209022K->14105K(271872K)] 219494K->24585K(436224K), 0.0176672 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
12.803: [GC (Allocation Failure) [PSYoungGen: 271641K->14915K(281088K)] 282121K->25403K(445440K), 0.0154412 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
16.232: [GC (Allocation Failure) [PSYoungGen: 279619K->15156K(331776K)] 290107K->25652K(496128K), 0.0172907 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
20.284: [GC (Allocation Failure) [PSYoungGen: 330548K->15267K(330752K)] 341044K->25770K(495104K), 0.0201214 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
24.857: [GC (Allocation Failure) [PSYoungGen: 330659K->14661K(331776K)] 341162K->25173K(496128K), 0.0135662 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
29.234: [GC (Allocation Failure) [PSYoungGen: 329029K->14000K(328704K)] 339541K->24512K(493056K), 0.0120207 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
33.676: [GC (Allocation Failure) [PSYoungGen: 328368K->13379K(331264K)] 338880K->23891K(495616K), 0.0140689 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
38.047: [GC (Allocation Failure) [PSYoungGen: 327747K->12786K(331264K)] 338259K->23298K(495616K), 0.0135531 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
80.351: [GC (Allocation Failure) [PSYoungGen: 327154K->9505K(313856K)] 337666K->20025K(478208K), 0.0067197 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
151.609: [GC (Allocation Failure) [PSYoungGen: 313633K->7569K(302080K)] 324153K->18097K(466432K), 0.0049345 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
214.857: [GC (Allocation Failure) [PSYoungGen: 301969K->7568K(292864K)] 312497K->18104K(457216K), 0.0037443 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
277.078: [GC (Allocation Failure) [PSYoungGen: 292752K->7648K(283648K)] 303288K->18184K(448000K), 0.0044870 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
327.556: [GC (Allocation Failure) [PSYoungGen: 283616K->7679K(274944K)] 294152K->18223K(439296K), 0.0039346 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
